"Date","Site","Array","Trap","trap_type","Taxa","SppCode","Toeclip","Recap","SVL","VTL","weight","weight_flag","Sex","OrigTail","Comments","Dead","Hatchling"
2011-03-29,"GWA2","2","B2","funnel","Lizard","UTST","A2B1","Y",60,99,6,NA,"M",64,NA,"N",NA
2011-03-30,"GWA1","1","A2","funnel","Lizard","ASTI","A2C5","N",63,171,5.5,NA,"F",NA,NA,"N",NA
2011-03-30,"GWA1","1","A4","pitfall","Lizard","ASTI","A2D1","N",71,184,8,NA,"F",NA,NA,"N",NA
2011-03-30,"GWA1","1","A4","pitfall","Lizard","ASTI","A2D2","N",80,210,13.5,NA,"M",NA,NA,"N",NA
2011-03-30,"GWA1","1","B3","funnel","Lizard","UTST","A2C3","N",54,81,4.5,NA,"F",NA,NA,"N",NA
2011-03-30,"GWA1","1","C2","funnel","Lizard","UTST","B2B3B4","N",60,58,6,NA,"M",20,"B2, B3, B4 natural toe loss (used this)","N",NA
2011-03-30,"GWA1","2","A2","funnel","Lizard","ASTI","A2D3","N",75,191,11.5,NA,"M",NA,NA,"N",NA
2011-03-30,"GWA1","2","A3","funnel","Lizard","ASTI","A2D5","N",66,143,7,NA,"F",50,NA,"N",NA
2011-03-30,"GWA2","1","B3","funnel","Lizard","ASTI","A4C2","N",81,150,14,NA,"M",45,NA,"N",NA
2011-03-30,"GWA2","1","C3","funnel","Lizard","ASTI","A4C3","N",72,183,8,NA,"F",NA,NA,"N",NA
2011-03-30,"GWA2","1","C3","funnel","Lizard","ASTI","A3B4","Y",69,163,7,NA,"M",NA,"shedding","N",NA
2011-03-30,"GWA2","2","A3","funnel","Lizard","ASTI","A4B5","N",65,158,6,NA,"M",NA,"shedding","N",NA
